title,artist,year,type,latitude,longitude
Girl with Basin,Edward Fenno Hoffman III,1960,Mural/Public Art,39.953000,-75.176400
Giuseppe Verdi,Ettore Ferrari,1907,Mural/Public Art,39.983100,-75.209500
Globe with Motor,,1983,Mural/Public Art,39.898750,-75.234000
Goethe,Heinrich Manger,1890,Mural/Public Art,39.983725,-75.212010
Golden Slippers,Harold Kimmelman,1973,Mural/Public Art,39.932750,-75.148000
Gray Manor Memorial,Joseph C. Bailey,1982,Mural/Public Art,39.976875,-75.148775
The Great Doctor,Waldemar Raemisch,1955,Mural/Public Art,39.974775,-75.203800
The Great Mother,Waldemar Raemisch,1955,Mural/Public Art,39.974750,-75.203650
Greyhounds,,1988,Mural/Public Art,39.948910,-75.172900
Grizzly Bear,Eric Berg,1983,Mural/Public Art,39.947600,-75.180050
Grumman Lunar Module,Grumman Spacecats,1976,Mural/Public Art,39.957760,-75.173795
Guardian Lions,,400,Mural/Public Art,39.949175,-75.191125
Guardians of Fire,Gerd Utescher,1964,Mural/Public Art,39.942290,-75.165525
Guglielmo Marconi,Giancarlo Saleppichi,1975,Mural/Public Art,39.915440,-75.171125
Guglielmo Marconi Tablet,,1955,Mural/Public Art,39.916150,-75.171700
Hallahan Logo,Walter Ballinger/Ballinger Company (Architects),1911,Mural/Public Art,39.959975,-75.170075
Harrowgate Park Civic Association Veterans Memorial,Amelie Zell Felton,1952,Mural/Public Art,39.999600,-75.106650
Headhouse Square Fountain,,2009,Mural/Public Art,39.942040,-75.145490
Helios,William Daley,1972,Mural/Public Art,40.032735,-75.171350
Henry Howard Houston,John Massey Rhind,1900,Mural/Public Art,40.032060,-75.187160
Henry Melchior Muhlenberg,J. Otto Schweizer,1917,Mural/Public Art,40.061775,-75.191925
Hephaestus,Robert David Lasus,1980,Mural/Public Art,40.061990,-75.050750
Hill Pavilion Fountain,,2006,Mural/Public Art,39.950200,-75.199900
Homage to Georgia O'Keeffe,Thom Cooney Crawford,1986,Mural/Public Art,39.951625,-75.198450
House Post,,1850,Mural/Public Art,,
Hurry,William King,1980,Mural/Public Art,39.981500,-75.154200
I.M. Pei Sculpture Garden: A Tribute,Jill Sablosky,2003,Mural/Public Art,39.946000,-75.144850
The Ideal Boy Scout,R. Tait McKenzie,1937,Mural/Public Art,39.958990,-75.175250
The Immigrant,Heinz Warneke,1933,Mural/Public Art,39.973800,-75.190925
Impalas and Lemurs,Gecko Group,2013,Mural/Public Art,39.974650,-75.197600
"In the Beginning, God...",,,Mural/Public Art,,
Indian Land Commemorative,Bob Haozous,1995,Mural/Public Art,39.966800,-75.129400
Interfaith Symbol,,2016,Mural/Public Art,39.955550,-75.198100
Irish Memorial,Glenna Goodacre,2002,Mural/Public Art,39.944500,-75.143825
Iroquois,Mark di Suvero,1983,Mural/Public Art,39.965050,-75.177800
Isadora,Joe Mooney,2001,Mural/Public Art,39.957240,-75.171600
J. William White,Paul Philippe Cret (Architect),1922,Mural/Public Art,39.949240,-75.171690
James A. Garfield Monument,Augustus Saint-Gaudens,1895,Mural/Public Art,39.973900,-75.190550
James Bartram Nicholson,J. Otto Schweizer,1913,Mural/Public Art,39.997690,-75.181760
Japanese Lantern,,1705,Mural/Public Art,,
Jerusalem Stabile,Alexander Calder,1976,Mural/Public Art,39.952025,-75.192660
Jesus,,,Mural/Public Art,39.965350,-75.174500
"Jesus, The Bread of Life",Walter Erlebacher,1976,Mural/Public Art,39.957110,-75.168575
Joan of Arc,Emmanuel Fremiet,1890,Mural/Public Art,39.966500,-75.179175
Joe Frazier Monument,Stephen Layne,2015,Mural/Public Art,39.904575,-75.168975
John B. Kelly,Harry Rosin,1965,Mural/Public Art,39.986050,-75.201800
John Christian Bullitt,John J. Boyle,1907,Mural/Public Art,39.953050,-75.163915
The John Hanson Monument,Carl Lindborg,1967,Mural/Public Art,39.934500,-75.143800
"John Harrison, Chemist",Lawrence Tenney Stevens,1932,Mural/Public Art,39.951150,-75.191685
John Nepomucene Neumann,,1972,Mural/Public Art,39.957840,-75.168900
John Paul Jones,Walker Hancock,1957,Mural/Public Art,39.967050,-75.182625
"John Wanamaker, Citizen",John Massey Rhind,1923,Mural/Public Art,39.952650,-75.162750
John Wister,Raffaello Romanelli,1903,Mural/Public Art,40.035850,-75.176325
Johnnie Ring,Boris Blai,1958,Mural/Public Art,39.982575,-75.156525
Jonathan Netanyahu Memorial,Buky Schwartz,1986,Mural/Public Art,39.951115,-75.147760
Joseph Haydn,Idusch and Son,1906,Mural/Public Art,39.983040,-75.208625
Joseph Leidy,Samuel Murray,1907,Mural/Public Art,39.957200,-75.171300
The Journeyer,Lindsay Daen,1975,Mural/Public Art,39.983500,-75.209500
June 5th Memorial,Scott Aker,2018,Mural/Public Art,39.953675,-75.176600
Kangaroos,Harold Kimmelman,1970,Mural/Public Art,39.944625,-75.149300
Kate Smith,Marc Mellon,1987,Mural/Public Art,39.903600,-75.170000
King Solomon,Alexander Archipenko,1968,Mural/Public Art,39.952625,-75.194850
Kings,Robert Engman,1975,Mural/Public Art,39.903050,-75.243325
Kopernik,Dudley Talcott,1972,Mural/Public Art,39.956800,-75.168525
The Laborer,Ahron Ben-Shmuel,1958,Mural/Public Art,39.974425,-75.191400
Labour Monument,John Kindness,2010,Mural/Public Art,39.913850,-75.237740
Land Buoy,Jody Pinto,2014,Mural/Public Art,39.932300,-75.140400
"Law, Prosperity, and Power",Daniel Chester French,1880,Mural/Public Art,39.984425,-75.223250
LAWN,,2019,Mural/Public Art,39.957310,-75.195685
Lenni Lenape,Joe Mooney,1988,Mural/Public Art,39.898425,-75.233325
Leviathan,Seymour Lipton,1963,Mural/Public Art,39.953225,-75.166075
Life Savers,Billie Lawless,1982,Mural/Public Art,39.951150,-75.199425
Lincoln the Lawyer,Emil Seletz,1968,Mural/Public Art,39.979890,-75.157350
Lines in Four Directions in Flowers,Sol LeWitt,2012,Mural/Public Art,39.967325,-75.183300
Lion and Knight,,1800,Mural/Public Art,40.015710,-75.086650
Lion Crushing a Serpent,Antione Louis Barye,1832,Mural/Public Art,39.949650,-75.172050
